employee_id,supervisor_id,name,title,department,job_level,team,season,snapshot_date,mlb_id,role,games,gs,pa
ATL-MGR-brian-snitker,,Brian Snitker,Manager,Coaching Staff,1,ATL,2026,2026-07-01,,,,,
ATL-L2-BENCH-walt-weiss,ATL-MGR-brian-snitker,Walt Weiss,Bench Coach,Coaching Staff,2,ATL,2026,2026-07-01,,,,,
ATL-L2-PITCHING-rick-kranitz,ATL-MGR-brian-snitker,Rick Kranitz,Pitching Coach,Coaching Staff,2,ATL,2026,2026-07-01,,,,,
ATL-L2-HITTING-kevin-seitzer,ATL-MGR-brian-snitker,Kevin Seitzer,Hitting Coach,Coaching Staff,2,ATL,2026,2026-07-01,,,,,
ATL-L3-BULLPEN,ATL-L2-PITCHING-rick-kranitz,Bullpen Coach,Bullpen Coach,Coaching Staff,3,ATL,2026,2026-07-01,,,,,
ATL-L3-STARTERS,ATL-L2-PITCHING-rick-kranitz,Starting Pitchers Coach,Starting Pitchers Coach,Coaching Staff,3,ATL,2026,2026-07-01,,,,,
ATL-L3-INFIELD,ATL-L2-HITTING-kevin-seitzer,Infield Coach,Infield Coach,Coaching Staff,3,ATL,2026,2026-07-01,,,,,
ATL-L3-OUTFIELD,ATL-L2-HITTING-kevin-seitzer,Outfield Coach,Outfield Coach,Coaching Staff,3,ATL,2026,2026-07-01,,,,,
ATL-L3-1B,ATL-L2-BENCH-walt-weiss,First Base Coach,First Base Coach,Coaching Staff,3,ATL,2026,2026-07-01,,,,,
ATL-L3-3B,ATL-L2-BENCH-walt-weiss,Third Base Coach,Third Base Coach,Coaching Staff,3,ATL,2026,2026-07-01,,,,,
MLB-607481,ATL-L3-BULLPEN,Aaron Bummer,Pitcher,Player,4,ATL,2026,2026-07-01,607481.0,P,19.0,0.0,
MLB-471911,ATL-L3-BULLPEN,Carlos Carrasco,Pitcher,Player,4,ATL,2026,2026-07-01,471911.0,P,7.0,0.0,
MLB-689266,ATL-L3-BULLPEN,Dylan Dodd,Pitcher,Player,4,ATL,2026,2026-07-01,689266.0,P,15.0,0.0,
MLB-693821,ATL-L3-STARTERS,Bryce Elder,Pitcher,Player,4,ATL,2026,2026-07-01,693821.0,P,16.0,16.0,
MLB-800311,ATL-L3-BULLPEN,Didier Fuentes,Pitcher,Player,4,ATL,2026,2026-07-01,800311.0,P,24.0,1.0,
MLB-641656,ATL-L3-BULLPEN,Ian Hamilton,Pitcher,Player,4,ATL,2026,2026-07-01,641656.0,P,2.0,0.0,
MLB-656550,ATL-L3-STARTERS,Grant Holmes,Pitcher,Player,4,ATL,2026,2026-07-01,656550.0,P,15.0,15.0,
MLB-628452,ATL-L3-BULLPEN,Raisel Iglesias,Pitcher,Player,4,ATL,2026,2026-07-01,628452.0,P,25.0,0.0,
MLB-675916,ATL-L3-BULLPEN,James Karinchak,Pitcher,Player,4,ATL,2026,2026-07-01,675916.0,P,6.0,0.0,
MLB-641755,ATL-L3-BULLPEN,Tyler Kinley,Pitcher,Player,4,ATL,2026,2026-07-01,641755.0,P,32.0,0.0,
MLB-669276,ATL-L3-BULLPEN,Dylan Lee,Pitcher,Player,4,ATL,2026,2026-07-01,669276.0,P,37.0,0.0,
MLB-625643,ATL-L3-STARTERS,Reynaldo L\xc3\xb3pez,Pitcher,Player,4,ATL,2026,2026-07-01,625643.0,P,19.0,6.0,
MLB-622761,ATL-L3-BULLPEN,Jorge Mateo,Pitcher,Player,4,ATL,2026,2026-07-01,622761.0,P,1.0,0.0,
MLB-682989,ATL-L3-BULLPEN,Victor Mederos,Pitcher,Player,4,ATL,2026,2026-07-01,682989.0,P,1.0,0.0,
MLB-683627,ATL-L3-BULLPEN,Anthony Molina,Pitcher,Player,4,ATL,2026,2026-07-01,683627.0,P,3.0,0.0,
MLB-691548,ATL-L3-BULLPEN,Rolddy Mu\xc3\xb1oz,Pitcher,Player,4,ATL,2026,2026-07-01,691548.0,P,1.0,0.0,
MLB-606303,ATL-L3-BULLPEN,Joel Payamps,Pitcher,Player,4,ATL,2026,2026-07-01,606303.0,P,12.0,0.0,
MLB-527048,ATL-L3-STARTERS,Mart\xc3\xadn P\xc3\xa9rez,Pitcher,Player,4,ATL,2026,2026-07-01,527048.0,P,16.0,12.0,
MLB-702275,ATL-L3-STARTERS,JR Ritchie,Pitcher,Player,4,ATL,2026,2026-07-01,702275.0,P,8.0,7.0,
MLB-519242,ATL-L3-STARTERS,Chris Sale,Pitcher,Player,4,ATL,2026,2026-07-01,519242.0,P,14.0,14.0,
MLB-676702,ATL-L3-BULLPEN,Hunter Stratton,Pitcher,Player,4,ATL,2026,2026-07-01,676702.0,P,1.0,0.0,
MLB-675911,ATL-L3-STARTERS,Spencer Strider,Pitcher,Player,4,ATL,2026,2026-07-01,675911.0,P,8.0,8.0,
MLB-663158,ATL-L3-BULLPEN,Robert Suarez,Pitcher,Player,4,ATL,2026,2026-07-01,663158.0,P,31.0,0.0,
MLB-694462,ATL-L3-BULLPEN,Hurston Waldrep,Pitcher,Player,4,ATL,2026,2026-07-01,694462.0,P,1.0,0.0,
MLB-660670,ATL-L3-INFIELD,Ronald Acu\xc3\xb1a Jr.,Position Player,Player,4,ATL,2026,2026-07-01,660670.0,H,,,236.0
MLB-645277,ATL-L3-OUTFIELD,Ozzie Albies,Position Player,Player,4,ATL,2026,2026-07-01,645277.0,H,,,343.0
MLB-640492,ATL-L3-INFIELD,Jos\xc3\xa9 Az\xc3\xb3car,Position Player,Player,4,ATL,2026,2026-07-01,640492.0,H,,,16.0
MLB-686948,ATL-L3-OUTFIELD,Drake Baldwin,Position Player,Player,4,ATL,2026,2026-07-01,686948.0,H,,,253.0
MLB-663698,ATL-L3-INFIELD,Joey Bart,Position Player,Player,4,ATL,2026,2026-07-01,663698.0,H,,,73.0
MLB-665856,ATL-L3-INFIELD,Jair Camargo,Position Player,Player,4,ATL,2026,2026-07-01,665856.0,H,,,2.0
MLB-643289,ATL-L3-OUTFIELD,Mauricio Dub\xc3\xb3n,Position Player,Player,4,ATL,2026,2026-07-01,643289.0,H,,,307.0
MLB-571657,ATL-L3-INFIELD,Kyle Farmer,Position Player,Player,4,ATL,2026,2026-07-01,571657.0,H,,,15.0
MLB-671739,ATL-L3-INFIELD,Michael Harris II,Position Player,Player,4,ATL,2026,2026-07-01,671739.0,H,,,284.0
MLB-805347,ATL-L3-INFIELD,Jim Jarvis,Position Player,Player,4,ATL,2026,2026-07-01,805347.0,H,,,5.0
MLB-673490,ATL-L3-INFIELD,Ha-Seong Kim,Position Player,Player,4,ATL,2026,2026-07-01,673490.0,H,,,76.0
MLB-506702,ATL-L3-INFIELD,Sandy Le\xc3\xb3n,Position Player,Player,4,ATL,2026,2026-07-01,506702.0,H,,,44.0
MLB-669221,ATL-L3-INFIELD,Sean Murphy,Position Player,Player,4,ATL,2026,2026-07-01,669221.0,H,,,14.0
MLB-621566,ATL-L3-OUTFIELD,Matt Olson,Position Player,Player,4,ATL,2026,2026-07-01,621566.0,H,,,349.0
MLB-663586,ATL-L3-OUTFIELD,Austin Riley,Position Player,Player,4,ATL,2026,2026-07-01,663586.0,H,,,325.0
MLB-642086,ATL-L3-OUTFIELD,Dominic Smith,Position Player,Player,4,ATL,2026,2026-07-01,642086.0,H,,,194.0
MLB-642133,ATL-L3-OUTFIELD,Rowdy Tellez,Position Player,Player,4,ATL,2026,2026-07-01,642133.0,H,,,10.0
MLB-644433,ATL-L3-INFIELD,Chadwick Tromp,Position Player,Player,4,ATL,2026,2026-07-01,644433.0,H,,,27.0
MLB-642201,ATL-L3-INFIELD,Eli White,Position Player,Player,4,ATL,2026,2026-07-01,642201.0,H,,,110.0
MLB-663897,ATL-L3-OUTFIELD,Luke Williams,Position Player,Player,4,ATL,2026,2026-07-01,663897.0,H,,,1.0
MLB-573262,ATL-L3-OUTFIELD,Mike Yastrzemski,Position Player,Player,4,ATL,2026,2026-07-01,573262.0,H,,,221.0
