employee_id,supervisor_id,name,title,department,job_level,team,season,snapshot_date,mlb_id,role,games,gs,pa
NYM-MGR-carlos-mendoza,,Carlos Mendoza,Manager,Coaching Staff,1,NYM,2025,2025-07-01,,,,,
NYM-L2-BENCH-john-gibbons,NYM-MGR-carlos-mendoza,John Gibbons,Bench Coach,Coaching Staff,2,NYM,2025,2025-07-01,,,,,
NYM-L2-PITCHING-jeremy-hefner,NYM-MGR-carlos-mendoza,Jeremy Hefner,Pitching Coach,Coaching Staff,2,NYM,2025,2025-07-01,,,,,
NYM-L2-HITTING-eric-chavez,NYM-MGR-carlos-mendoza,Eric Chavez,Hitting Coach,Coaching Staff,2,NYM,2025,2025-07-01,,,,,
NYM-L3-BULLPEN,NYM-L2-PITCHING-jeremy-hefner,Bullpen Coach,Bullpen Coach,Coaching Staff,3,NYM,2025,2025-07-01,,,,,
NYM-L3-STARTERS,NYM-L2-PITCHING-jeremy-hefner,Starting Pitchers Coach,Starting Pitchers Coach,Coaching Staff,3,NYM,2025,2025-07-01,,,,,
NYM-L3-INFIELD,NYM-L2-HITTING-eric-chavez,Infield Coach,Infield Coach,Coaching Staff,3,NYM,2025,2025-07-01,,,,,
NYM-L3-OUTFIELD,NYM-L2-HITTING-eric-chavez,Outfield Coach,Outfield Coach,Coaching Staff,3,NYM,2025,2025-07-01,,,,,
NYM-L3-1B,NYM-L2-BENCH-john-gibbons,First Base Coach,First Base Coach,Coaching Staff,3,NYM,2025,2025-07-01,,,,,
NYM-L3-3B,NYM-L2-BENCH-john-gibbons,Third Base Coach,Third Base Coach,Coaching Staff,3,NYM,2025,2025-07-01,,,,,
MLB-686654,NYM-L3-BULLPEN,Ty Adcock,Pitcher,Player,4,NYM,2025,2025-07-01,686654.0,P,3.0,0.0,
MLB-623211,NYM-L3-BULLPEN,Huascar Brazob\xc3\xa1n,Pitcher,Player,4,NYM,2025,2025-07-01,623211.0,P,52.0,3.0,
MLB-676130,NYM-L3-BULLPEN,Jos\xc3\xa9 Butt\xc3\xb3,Pitcher,Player,4,NYM,2025,2025-07-01,676130.0,P,55.0,0.0,
MLB-656288,NYM-L3-STARTERS,Griffin Canning,Pitcher,Player,4,NYM,2025,2025-07-01,656288.0,P,16.0,16.0,
MLB-692024,NYM-L3-BULLPEN,Alex Carrillo,Pitcher,Player,4,NYM,2025,2025-07-01,692024.0,P,3.0,0.0,
MLB-606965,NYM-L3-BULLPEN,Chris Devenski,Pitcher,Player,4,NYM,2025,2025-07-01,606965.0,P,13.0,1.0,
MLB-621242,NYM-L3-BULLPEN,Edwin D\xc3\xadaz,Pitcher,Player,4,NYM,2025,2025-07-01,621242.0,P,62.0,0.0,
MLB-657585,NYM-L3-BULLPEN,Reed Garrett,Pitcher,Player,4,NYM,2025,2025-07-01,657585.0,P,58.0,1.0,
MLB-621057,NYM-L3-BULLPEN,Justin Garza,Pitcher,Player,4,NYM,2025,2025-07-01,621057.0,P,5.0,0.0,
MLB-663795,NYM-L3-BULLPEN,Justin Hagenman,Pitcher,Player,4,NYM,2025,2025-07-01,663795.0,P,9.0,1.0,
MLB-687589,NYM-L3-BULLPEN,Dom Hamel,Pitcher,Player,4,NYM,2025,2025-07-01,687589.0,P,1.0,0.0,
MLB-664854,NYM-L3-BULLPEN,Ryan Helsley,Pitcher,Player,4,NYM,2025,2025-07-01,664854.0,P,58.0,0.0,
MLB-643361,NYM-L3-BULLPEN,Kevin Herget,Pitcher,Player,4,NYM,2025,2025-07-01,643361.0,P,7.0,0.0,
MLB-605280,NYM-L3-STARTERS,Clay Holmes,Pitcher,Player,4,NYM,2025,2025-07-01,605280.0,P,33.0,31.0,
MLB-608671,NYM-L3-BULLPEN,Travis Jankowski,Pitcher,Player,4,NYM,2025,2025-07-01,608671.0,P,1.0,0.0,
MLB-668820,NYM-L3-BULLPEN,Max Kranick,Pitcher,Player,4,NYM,2025,2025-07-01,668820.0,P,24.0,0.0,
MLB-640455,NYM-L3-STARTERS,Sean Manaea,Pitcher,Player,4,NYM,2025,2025-07-01,640455.0,P,15.0,12.0,
MLB-690997,NYM-L3-STARTERS,Nolan McLean,Pitcher,Player,4,NYM,2025,2025-07-01,690997.0,P,8.0,8.0,
MLB-656731,NYM-L3-STARTERS,Tylor Megill,Pitcher,Player,4,NYM,2025,2025-07-01,656731.0,P,14.0,14.0,
MLB-621345,NYM-L3-BULLPEN,A.J. Minter,Pitcher,Player,4,NYM,2025,2025-07-01,621345.0,P,13.0,0.0,
MLB-593423,NYM-L3-STARTERS,Frankie Montas,Pitcher,Player,4,NYM,2025,2025-07-01,593423.0,P,9.0,7.0,
MLB-673380,NYM-L3-BULLPEN,Dedniel N\xc3\xba\xc3\xb1ez,Pitcher,Player,4,NYM,2025,2025-07-01,673380.0,P,10.0,0.0,
MLB-656849,NYM-L3-STARTERS,David Peterson,Pitcher,Player,4,NYM,2025,2025-07-01,656849.0,P,30.0,30.0,
MLB-702752,NYM-L3-BULLPEN,Jonathan Pintaro,Pitcher,Player,4,NYM,2025,2025-07-01,702752.0,P,1.0,0.0,
