employee_id,supervisor_id,name,title,department,job_level,team,season,snapshot_date,mlb_id,role,games,gs,pa
PHI-MGR-rob-thomson,,Rob Thomson,Manager,Coaching Staff,1,PHI,2024,2024-07-01,,,,,
PHI-L2-BENCH-mike-calitri,PHI-MGR-rob-thomson,Mike Calitri,Bench Coach,Coaching Staff,2,PHI,2024,2024-07-01,,,,,
PHI-L2-PITCHING-caleb-cotham,PHI-MGR-rob-thomson,Caleb Cotham,Pitching Coach,Coaching Staff,2,PHI,2024,2024-07-01,,,,,
PHI-L2-HITTING-kevin-long,PHI-MGR-rob-thomson,Kevin Long,Hitting Coach,Coaching Staff,2,PHI,2024,2024-07-01,,,,,
PHI-L3-BULLPEN,PHI-L2-PITCHING-caleb-cotham,Bullpen Coach,Bullpen Coach,Coaching Staff,3,PHI,2024,2024-07-01,,,,,
PHI-L3-STARTERS,PHI-L2-PITCHING-caleb-cotham,Starting Pitchers Coach,Starting Pitchers Coach,Coaching Staff,3,PHI,2024,2024-07-01,,,,,
PHI-L3-INFIELD,PHI-L2-HITTING-kevin-long,Infield Coach,Infield Coach,Coaching Staff,3,PHI,2024,2024-07-01,,,,,
PHI-L3-OUTFIELD,PHI-L2-HITTING-kevin-long,Outfield Coach,Outfield Coach,Coaching Staff,3,PHI,2024,2024-07-01,,,,,
PHI-L3-1B,PHI-L2-BENCH-mike-calitri,First Base Coach,First Base Coach,Coaching Staff,3,PHI,2024,2024-07-01,,,,,
PHI-L3-3B,PHI-L2-BENCH-mike-calitri,Third Base Coach,Third Base Coach,Coaching Staff,3,PHI,2024,2024-07-01,,,,,
MLB-663465,PHI-L3-STARTERS,Kolby Allard,Pitcher,Player,4,PHI,2024,2024-07-01,663465.0,P,7.0,4.0,
MLB-621237,PHI-L3-BULLPEN,Jos\xc3\xa9 Alvarado,Pitcher,Player,4,PHI,2024,2024-07-01,621237.0,P,66.0,0.0,
MLB-641401,PHI-L3-BULLPEN,Connor Brogdon,Pitcher,Player,4,PHI,2024,2024-07-01,641401.0,P,4.0,0.0,
MLB-665019,PHI-L3-BULLPEN,Kody Clemens,Pitcher,Player,4,PHI,2024,2024-07-01,665019.0,P,1.0,0.0,
MLB-656457,PHI-L3-BULLPEN,Tyler Gilbert,Pitcher,Player,4,PHI,2024,2024-07-01,656457.0,P,6.0,0.0,
MLB-656546,PHI-L3-BULLPEN,Jeff Hoffman,Pitcher,Player,4,PHI,2024,2024-07-01,656546.0,P,68.0,0.0,
